satellite_catalog_number,international_designator,epoch_year,epoch_day,mean_motion_derivative,mean_motion_derivative_2nd,bstar_drag_term,element_number,inclination,right_ascension,eccentricity,argument_of_perigee,mean_anomaly,mean_motion,revolution_number_at_epoch
32790,08021H,24,283.84867553,.00013913,00000-0,12004-2,999,97.7820,247.1029,0009734,323.7834,36.2728,14.97353496,89251
32791,97.7040,55,.0737 000164,300.9373,59.1693,5.081423,9390,08021K,24284.2,050617,.0000522,00000-,63575-3 0,999
32793,06026AU,08,123.76070907,+.01094097,+00000-0,+41295-2,999,065.0317,236.3323,0018843,301.4515,058.6849,15.84637524,00405
32794,0.0231,43,.8191 000240,308.8602,50.8293,1.002707,7616,06026CX,08198.8,782663,.0055744,00000-,39413-2 0,999
32796,06026AV,08,124.72851284,+.01859103,+21370-2,+39910-2,999,065.0406,231.4237,0020760,314.0995,045.7973,15.98324534,00426
32797,97.8859,53,.7789 000740,275.5558,66.5928,5.526677,3751,06026AW,08171.6,269235,.0297746,10221-,62968-2 0,999
32799,06026AX,09,282.25067264,.14384871,75349-5,11716-2,999,065.0170,229.9438,0007847,232.9646,136.5104,16.39371853,8232
32800,64.9647,14,.4138 000999,252.6530,43.0965,6.201177,1756,06026AZ,10095.9,927841,.1701305,00000-,47128-2 0,999
32802,06026BA,08,301.78967912,.02766677,11136-1,37802-2,999,065.0506,348.8537,0008553,286.3615,074.0551,16.08651922,2801
32803,65.1098,63,.4996 001954,207.8888,51.7552,5.832247,826,06026BC,08199.8,810640,.0237859,45061-,46400-2 0,999
32805,06026BD,08,250.18789935,.03219550,26612-1,36205-2,999,065.0528,162.3586,0020783,232.5071,153.0770,16.13391943,1997
32806,65.0903,30,.5227 002575,260.1069,99.8282,6.054381,967,06026BF,08225.6,367756,.0269709,71876-,51364-2 0,999
